id;text;video;playlist;start;end;duration;split;prev_delta;post_delta
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_23; a partir del 1º de diciembre comienza la temporada de verano en la costa.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;152.0;155.984;35.880.000.000.000.200;[(' a partir del 1º de diciembre', 152.0, 153.40800000000002), ('comienza la temporada de verano en la costa.', 153.47, 155.984)];16.399.999.999.999.800;0.0459999999999922
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_25;vamos a ver a lautaro desde villa gesell.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;156.03;158.21;2.180.000.000.000.000;[('vamos a ver a lautaro desde villa gesell.', 156.03, 158.21)];0.0459999999999922;7.119.999.999.999.970
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_29;miraba el mar y pensaba.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;174.36;175.57;12.099.999.999.999.700;[('miraba el mar y pensaba.', 174.36, 175.57)];0.8200000000000216;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_30;estamos en noviembre, y reflexionaba.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;175.63;178.18;2.550.000.000.000.010;[('estamos en noviembre, y reflexionaba.', 175.63, 178.18)];0.0600000000000022;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_31;ustedes saben que el 1º de diciembre va a haber apertura para el turismo, se va a habilitar el turismo, la gente ya puede acceder libremente a esta playa o a cualquier ciudad.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;178.24;187.69;10.839.999.999.999.900;[('ustedes saben que el 1º de diciembre va a haber apertura para el turismo,', 178.24, 181.48), ('se va a habilitar el turismo,', 181.54, 183.21), ('la gente ya puede acceder libremente a esta playa o a cualquier ciudad.', 183.27, 187.69)];0.0600000000000022;0.3400000000000034
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_34;hoy estamos acá, y mirando el mar pensaba que, esta semana, justamente, el sindicato de guardavidas le pidió al municipio de villa gesell un aumento de salario del 15 %, motivo por el cual se mantuvieron varias reuniones sin resultado alguno, y por lo cual se seguirán manteniendo reuniones la próxima semana.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;188.03;212.69;23.109.999.999.999.900;[('hoy estamos acá, y mirando el mar pensaba que,', 188.03, 191.21), ('esta semana, justamente,', 191.27, 193.0), ('el sindicato de guardavidas le pidió al municipio de villa gesell', 193.06, 196.69), ('un aumento de salario del 15 %,', 197.32999999999998, 204.32999999999998), ('motivo por el cual se mantuvieron varias reuniones sin resultado alguno,', 204.39, 210.03), ('y por lo cual se seguirán manteniendo reuniones la próxima semana.', 210.09, 212.69)];0.3400000000000034;0.7300000000000182
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_40;es un tema complejo.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;213.42;214.48;1.059.999.999.999.970;[('es un tema complejo.', 213.42000000000002, 214.48)];0.7300000000000182;0.0900000000000034
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_41;como ustedes saben el 1º de diciembre la gente ya puede empezar a venir, por supuesto siempre respetando el protocolo: el uso de barbijo obligatorio, la distancia social, todo eso que ya conocen.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;214.57;226.18;12.22;[('como ustedes saben el 1º de diciembre la gente ya puede empezar a venir,', 214.57, 218.15), ('por supuesto siempre respetando el protocolo:', 218.21, 221.21), ('el uso de barbijo obligatorio, la distancia social,', 221.36, 224.06), ('todo eso que ya conocen.', 224.18, 226.18)];0.0900000000000034;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_45;lo único bueno, lo positivo, es que se puede entrar al mar sin barbijo.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;226.24;230.18;39.399.999.999.999.900;[('lo único bueno, lo positivo, es que se puede entrar al mar sin barbijo.', 226.24, 230.18)];0.0600000000000022;0.0900000000000034
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_46;retomando el tema de los guardavidas, ¿qué pasa si alguien se está ahogando y requiere del rescate del guardavidas?;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;230.27;235.87;6.509.999.999.999.990;[('retomando el tema de los guardavidas,', 230.27, 232.36), ('¿qué pasa si alguien se está ahogando y requiere del rescate del guardavidas?', 232.42000000000002, 235.87)];0.0900000000000034;0.1599999999999966
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_48;la incertidumbre de si esa persona tiene coronavirus o no, y si al rescatarla puede contagiar.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;236.03;242.06;5.899.999.999.999.970;[('la incertidumbre de si esa persona tiene coronavirus o no,', 236.03, 240.45), ('y si al rescatarla puede contagiar.', 240.51, 242.06)];0.1599999999999966;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_50;el trabajo de los guardavidas es un trabajo de riesgo, a diferencia de los médicos que se protegen con barbijo, ¿cómo lo hace un guardavidas? es algo interesante para reflexionar.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;242.12;249.18;6.629.999.999.999.960;[('el trabajo de los guardavidas es un trabajo de riesgo,', 242.12, 243.6), ('a diferencia de los médicos que se protegen con barbijo,', 243.66, 245.18), ('¿cómo lo hace un guardavidas? es algo interesante para reflexionar.', 245.24, 249.18)];0.0600000000000022;0.0600000000000022
noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020_54;acá se ve la zona de las carpas, y no vemos a nadie.;noticias-en-lengua-de-senas-argentina-resumen-semanal-29112020;resumen_semanal;257.33;262.03;4.699.999.999.999.980;[('acá se ve la zona de las carpas, y no vemos a nadie.', 257.33, 262.03)];6.879.999.999.999.990;0.2100000000000363
